year,month,region
2014,02,su
2014,02,ny
2014,05,su
2014,05,ny
2014,08,su
2014,08,ny
2014,11,su
2014,11,ny
2015,02,su
2015,02,ny
2015,05,su
2015,05,ny
2015,08,su
2015,08,ny
2015,11,su
2015,11,ny
2016,02,su
2016,02,ny
2016,04,su
2016,05,su
2016,05,ny
2016,06,su
2016,08,su
2016,08,ny
2016,12,su
2016,12,ny
2017,02,su
2017,02,ny
2017,06,su
2017,06,ny
2017,08,su
2017,08,ny
2017,12,su
2017,12,ny
2018,02,su
2018,02,ny
2018,06,su
2018,06,ny
2018,08,su
2018,08,ny
2018,11,su
2018,11,ny
2019,02,su
2019,02,ny
2019,05,su
2019,05,ny
2019,08,su
2019,08,ny
2019,12,su
2019,12,ny
2020,02,su
2020,02,ny
2020,06,su
2020,06,ny
2020,08,su
2020,08,ny
2020,11,su
2020,11,ny
2021,02,su
2021,02,ny
2021,05,su
2021,05,ny
2021,08,su
2021,08,ny
2021,11,su
2021,11,ny
2022,02,su
2022,02,ny
2022,05,su
2022,05,ny
2022,08,su
2022,08,ny
2022,12,su
2022,12,ny
